고객ID,성별,고객지역,가입기간
USER_1358,남,Chicago,12
USER_0190,남,California,43
USER_0066,남,Chicago,33
USER_0345,여,California,30
USER_0683,남,California,49
USER_0730,남,California,32
USER_0585,여,New York,46
USER_1347,여,New Jersey,24
USER_0736,여,Chicago,40
USER_0541,남,California,43
USER_0922,남,Chicago,49
USER_1421,여,California,10
USER_1249,여,New York,19
USER_0906,여,Washington DC,40
USER_0954,여,California,30
USER_0025,여,New Jersey,14
USER_1267,여,Chicago,25
USER_1277,남,Chicago,50
USER_0337,여,Chicago,39
USER_0344,여,Chicago,21
USER_0281,남,Chicago,30
USER_0351,여,Chicago,29
USER_1383,남,New Jersey,26
USER_0284,여,California,41
USER_0867,여,California,24
USER_0783,여,Chicago,21
USER_0130,여,Washington DC,26
USER_0947,남,Chicago,40
USER_0412,여,California,14
USER_0484,여,California,28
USER_1378,여,California,15
USER_1382,여,California,18
USER_0138,여,California,31
USER_0251,남,California,15
USER_1030,여,California,27
USER_1424,남,Chicago,34
USER_0349,남,Washington DC,46
USER_0334,여,California,44
USER_0895,남,New York,25
USER_0630,여,New Jersey,45
USER_1395,남,New York,33
USER_0946,남,New York,49
USER_1376,남,Washington DC,19
USER_1236,남,Chicago,34
USER_1020,여,California,27
USER_1175,여,New York,49
USER_1389,여,Chicago,36
USER_0595,남,Washington DC,43
USER_0118,여,Chicago,28
USER_0657,여,California,42
USER_0147,여,California,8
USER_1284,여,Chicago,49
USER_0420,여,New York,7
USER_0403,여,New York,10
USER_0085,남,Chicago,21
USER_0786,남,New York,48
USER_0466,여,Chicago,39
USER_1377,남,New York,42
USER_0776,남,New York,25
USER_0026,남,California,32
USER_1129,여,New York,15
USER_0745,남,California,48
USER_0808,여,California,21
USER_1438,여,California,26
USER_0881,남,Chicago,29
USER_0560,남,California,5
USER_0694,여,New Jersey,36
USER_0643,여,California,34
USER_0996,남,California,47
USER_1355,남,California,21
USER_0034,여,New Jersey,2
USER_1224,여,New Jersey,12
USER_1303,여,California,33
USER_1369,남,California,26
USER_0205,남,California,35
USER_0156,남,New York,49
USER_0288,남,New York,33
USER_1337,여,New Jersey,45
USER_1120,여,California,19
USER_0913,남,New Jersey,12
USER_0961,여,California,43
USER_0531,여,California,47
USER_0587,남,New York,48
USER_1015,남,California,2
USER_1141,여,Chicago,45
USER_0353,여,California,7
USER_1317,여,Chicago,6
USER_0165,남,California,48
USER_1260,여,California,35
USER_1456,남,New York,16
USER_0438,여,Chicago,21
USER_1153,여,California,10
USER_0195,여,Chicago,32
USER_0563,여,Chicago,33
USER_1091,남,Chicago,11
USER_0718,여,New Jersey,23
USER_0312,남,New York,23
USER_1406,남,California,7
USER_0203,남,New Jersey,4
USER_0828,여,New York,41
USER_0602,남,California,32
USER_0340,남,California,23
USER_0427,여,Chicago,41
USER_1330,여,Chicago,8
USER_0144,여,New York,33
USER_0840,여,New York,27
USER_1359,여,New York,13
USER_0413,여,California,10
USER_1384,남,New York,12
USER_0391,여,New York,38
USER_1138,남,California,40
USER_0437,여,Chicago,21
USER_0212,여,Chicago,45
USER_0033,여,California,11
USER_0806,여,Chicago,46
USER_0282,여,New York,22
USER_0607,남,New York,24
USER_0820,남,Chicago,24
USER_0496,여,California,6
USER_0641,여,Chicago,4
USER_1411,남,Washington DC,30
USER_0889,여,California,49
USER_0677,여,Washington DC,39
USER_0953,여,New York,36
USER_0687,남,New Jersey,9
USER_0498,남,Chicago,37
USER_1016,여,California,42
USER_0721,여,Chicago,45
USER_0261,여,Chicago,38
USER_0530,여,California,6
USER_0417,여,Chicago,22
USER_0882,여,Chicago,34
USER_1071,남,New York,42
USER_1204,여,Washington DC,45
USER_0751,남,New York,32
USER_0154,여,Washington DC,3
USER_0791,남,Chicago,22
USER_0837,남,New Jersey,16
USER_0911,여,Chicago,16
USER_1237,남,New Jersey,17
USER_0856,여,Chicago,3
USER_0447,여,California,11
USER_0216,남,New Jersey,30
USER_1114,여,New York,7
USER_1392,남,New Jersey,5
USER_0525,여,Chicago,18
USER_1193,남,California,12
USER_1007,여,California,39
USER_1346,여,California,13
USER_0685,여,New York,20
USER_1398,남,Washington DC,12
USER_0520,남,New Jersey,39
USER_0860,여,Chicago,9
USER_1080,여,New York,38
USER_1276,남,Chicago,41
USER_0293,여,Chicago,16
USER_0941,여,New York,18
USER_1316,남,Washington DC,37
USER_1287,남,California,25
USER_0836,여,Chicago,21
USER_0221,여,California,21
USER_0855,남,New York,27
USER_1282,여,California,9
USER_0675,남,California,7
USER_0944,남,California,9
USER_0816,여,California,30
USER_0800,여,New York,5
USER_1076,여,Chicago,26
USER_1354,여,California,14
USER_1190,남,Chicago,42
USER_0627,남,California,15
USER_1246,여,California,19
USER_0407,여,Chicago,17
USER_0610,여,Chicago,25
USER_0172,여,Washington DC,43
USER_0858,남,Chicago,12
USER_1307,여,California,33
USER_0733,남,Chicago,25
USER_0818,남,California,10
USER_0394,여,New Jersey,22
USER_0518,여,New Jersey,41
USER_0441,여,California,5
USER_1133,여,California,50
USER_0279,남,Chicago,42
USER_1442,여,Chicago,5
USER_1336,여,New York,45
USER_0568,여,Chicago,14
USER_0182,여,New York,18
USER_0358,남,California,37
USER_0758,남,California,30
USER_0475,남,Chicago,16
USER_0259,여,New York,33
USER_1072,여,New Jersey,5
