날짜,오프라인비용,온라인비용
2019-01-01,4500,2424.5
2019-01-02,4500,3480.36
2019-01-03,4500,1576.38
2019-01-04,4500,2928.55
2019-01-05,4500,4055.3
2019-01-06,4500,3796.85
2019-01-07,4500,2579.52
2019-01-08,5000,2551.38
2019-01-09,5000,3287.83
2019-01-10,5000,515.44
2019-01-11,5000,1757.58
2019-01-12,5000,2435.97
2019-01-13,5000,2449.65
2019-01-14,5000,1920.57
2019-01-15,3000,1734.68
2019-01-16,3000,3727.61
2019-01-17,3000,417.73
2019-01-18,3000,1312.5
2019-01-19,3000,2753.56
2019-01-20,3000,2073.51
2019-01-21,3000,640.93
2019-01-22,1000,1049.73
2019-01-23,1000,1356.59
2019-01-24,1000,560.02
2019-01-25,1000,1124.95
2019-01-26,1000,937.58
2019-01-27,1000,687.86
2019-01-28,1000,993.69
2019-01-29,700,836.13
2019-01-30,700,981.86
2019-01-31,700,1380.14
2019-02-01,700,692.67
2019-02-02,700,770.87
2019-02-03,700,2091.61
2019-02-04,700,2216.98
2019-02-05,3000,2486.46
2019-02-06,3000,1665.47
2019-02-07,3000,877.2
2019-02-08,3000,1973.27
2019-02-09,3000,2659.34
2019-02-10,3000,2037.41
2019-02-11,3000,2864.69
2019-02-12,3000,2844.64
2019-02-13,3000,2007.32
2019-02-14,3000,830.68
2019-02-15,3000,1738.89
2019-02-16,3000,3784.07
2019-02-17,3000,2107.67
2019-02-18,3000,1586.43
2019-02-19,3500,1720.16
2019-02-20,3500,2768.28
2019-02-21,3500,727.39
2019-02-22,3500,939.9
2019-02-23,3500,2548.51
2019-02-24,3500,2280.26
2019-02-25,3500,1469.84
2019-02-26,4000,1951.71
2019-02-27,4000,4349.02
2019-02-28,4000,1817.18
2019-03-01,4000,1880.22
2019-03-02,4000,1258.6
2019-03-03,4000,2066.29
2019-03-04,4000,642.34
2019-03-05,2500,1153.36
2019-03-06,2500,1827.02
2019-03-07,2500,2335.35
2019-03-08,2500,1918.53
2019-03-09,2500,1768.28
2019-03-10,2500,1294.22
2019-03-11,2500,973.15
2019-03-12,2000,731.1
2019-03-13,2000,1498.01
2019-03-14,2000,1141.27
2019-03-15,2000,1684.18
2019-03-16,2000,2435.12
2019-03-17,2000,1837.87
2019-03-18,2000,659.57
2019-03-19,2000,982.2
2019-03-20,2000,1542.81
2019-03-21,2000,2365.81
2019-03-22,2000,2523.41
2019-03-23,2000,1736.63
2019-03-24,2000,1984.0
2019-03-25,2000,931.54
2019-03-26,2000,1672.79
2019-03-27,2000,2639.99
2019-03-28,2000,1066.12
2019-03-29,2000,1330.54
2019-03-30,2000,692.02
2019-03-31,2000,2177.75
2019-04-01,2000,4019.93
2019-04-02,2500,1909.27
2019-04-03,2500,1748.14
2019-04-04,2500,1136.06
2019-04-05,2500,2342.68
2019-04-06,2500,2307.25
2019-04-07,2500,2719.46
2019-04-08,2500,2200.69
2019-04-09,3000,1740.91
2019-04-10,3000,2143.39
2019-04-11,3000,804.85
2019-04-12,3000,1631.25
2019-04-13,3000,2872.23
2019-04-14,3000,1747.0
2019-04-15,3000,1593.58
2019-04-16,4000,2168.04
2019-04-17,4000,2526.49
2019-04-18,4000,1476.58
2019-04-19,4000,1754.92
2019-04-20,4000,1330.34
2019-04-21,4000,3078.84
2019-04-22,4000,1608.26
2019-04-23,3500,3107.11
2019-04-24,3500,1650.62
2019-04-25,3500,620.94
2019-04-26,3500,1363.31
2019-04-27,3500,2056.17
2019-04-28,3500,2019.73
2019-04-29,3500,3549.13
2019-04-30,3000,1799.66
2019-05-01,3000,1108.88
2019-05-02,3000,732.47
2019-05-03,3000,2406.31
2019-05-04,3000,2407.55
2019-05-05,3000,1177.76
2019-05-06,3000,2100.89
2019-05-07,3000,2271.0
2019-05-08,3000,869.25
2019-05-09,3000,1771.32
2019-05-10,3000,1942.13
2019-05-11,3000,1801.66
2019-05-12,3000,2113.63
2019-05-13,3000,2697.6
2019-05-14,2500,2151.7
2019-05-15,2500,682.42
2019-05-16,2500,1605.63
2019-05-17,2500,3052.49
2019-05-18,2500,2805.79
2019-05-19,2500,2331.31
2019-05-20,2500,2298.34
2019-05-21,1000,882.98
2019-05-22,1000,979.08
2019-05-23,1000,1196.03
2019-05-24,1000,670.51
2019-05-25,1000,2565.75
2019-05-26,1000,2752.13
2019-05-27,1000,1976.31
2019-05-28,500,465.4
2019-05-29,500,670.64
2019-05-30,500,1262.38
2019-05-31,500,1010.3
2019-06-01,500,320.25
2019-06-02,500,1622.46
2019-06-03,500,1230.43
2019-06-04,3500,2553.18
2019-06-05,3500,3202.1
2019-06-06,3500,1126.87
2019-06-07,3500,1694.16
2019-06-08,3500,1598.46
2019-06-09,3500,2940.1
2019-06-10,3500,1881.94
2019-06-11,3000,1428.32
2019-06-12,3000,2321.52
2019-06-13,3000,1084.43
2019-06-14,3000,1749.49
